timestamp,net_rx_total,net_tx_total
2026-06-25T16:10:45Z,119380439,6419
2026-06-25T16:10:46Z,119380471,6419
2026-06-25T16:10:47Z,119380473,6419
2026-06-25T16:10:48Z,119380530,6419
2026-06-25T16:10:49Z,119380536,6419
2026-06-25T16:10:50Z,119380559,6420
2026-06-25T16:10:51Z,119380590,6420
2026-06-25T16:10:52Z,119380633,6420
2026-06-25T16:10:53Z,119380671,6420
2026-06-25T16:10:54Z,119380726,6420
2026-06-25T16:10:55Z,119380738,6420
2026-06-25T16:10:56Z,119380779,6420
2026-06-25T16:10:57Z,119380924,6420
2026-06-25T16:10:58Z,119380955,6420
2026-06-25T16:10:59Z,119380961,6420
2026-06-25T16:11:00Z,119381026,6420
2026-06-25T16:11:01Z,119381041,6420
2026-06-25T16:11:02Z,119381063,6420
2026-06-25T16:11:03Z,119381093,6420
2026-06-25T16:11:04Z,119381115,6420
2026-06-25T16:11:05Z,119381133,6421
2026-06-25T16:11:06Z,119381230,6421
2026-06-25T16:11:07Z,119381260,6421
2026-06-25T16:11:08Z,119381299,6421
2026-06-25T16:11:09Z,119381299,6421
2026-06-25T16:11:10Z,119381330,6421
2026-06-25T16:11:11Z,119381340,6421
2026-06-25T16:11:12Z,119381403,6421
2026-06-25T16:11:13Z,119381412,6421
2026-06-25T16:11:14Z,119381456,6421
