                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     354771     985960     683311     414372     557432     334017     505189     295157     440822     293758     418485     216296     415200     349080     377793     192052     358787     294767     380991     211346     368620     230916     379692     224216     359140     251230     565308     213162     479965     211139     370249     215518
      NET_TX:          9         46         15         33         16         32          9         37         18         47         19         28         38         14         73         16         36          8         32         31         71         31         37         15         30         10         35         10         43         43       5530         10
      NET_RX:      54781    5169785       9514    7846234       9307    7967742       8990    8867822       9983    7480675       9523    8921428    7203873       4949    7190481       4966    7654418      49550    6123969      48191    6011561    6577834    7596619      47040    8118857      48188      54423      49419    8515793      48281    7630930      46562
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     501340     261934      15693     465727     690780     329191     371934     277524     313118     235283      26975      18877      21383      11174      23309      21103      13880       1913       5901      11050      10941      13016       7236       5982       6341       4708      11436       4786       7998      11035      11800       5184
       SCHED:    3754496    2603195    2512204    1363094    2555228    1285179    2501586    1216670    2486974    1132285    2459170    1114767    2505262    1209127    2457784    1058499    2337233    1235499    2417956    1095080    2428387    1128262    2408388    1077757    2395955    1110065    2589515    1001422    2455132    1070738    2449281    1079653
     HRTIMER:        414       6487        395      10237        428       9864        424       9366        524       9183        375      11736       7727        375       6389        395       8958        474       9815        424       9705       7744       8917        482       8808        472        369        420       7549        333       8691        508
         RCU:    1901477    1835174    2221683    1198934    2284019    1166676    2230560    1102740    2240239    1036906    2190792    1026267    2234108    1101758    2207224     969965    2102862    1116239    2169755    1009079    2174360    1026684    2207231    1002195    2200203    1029618    2352247     936845    2230662    1006516    2178399     978665
