                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:     354588     985597     683187     414209     556693     333913     504769     294942     440623     293596     418328     216204     415072     349033     377733     192009     358518     294336     380911     211298     368543     230719     379608     223842     359054     251132     565142     213029     479518     210940     370104     215447
      NET_TX:          9         46         15         33         16         32          9         37         18         47         19         28         38         14         73         16         36          8         32         31         71         31         37         15         30         10         35         10         43         43       5527         10
      NET_RX:      54755    5169714       9500    7846175       9297    7967696       8990    8867784       9981    7480655       9521    8921281    7203823       4942    7190458       4966    7654355      49532    6123933      48170    6011513    6577761    7596518      47037    8118782      48163      54399      49392    8515711      48229    7630869      46537
       BLOCK:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:     501068     261855      15693     465497     690288     329183     371740     277458     312919     234929      26975      18874      21383      11174      23309      21103      13880       1913       5901      11050      10941      13015       7236       5982       6341       4708      11436       4786       7996      11035      11798       5184
       SCHED:    3751651    2601485    2511751    1362309    2553895    1284659    2499886    1216044    2485761    1131330    2458178    1114057    2504613    1208690    2456559    1058234    2335989    1234707    2416927    1094821    2427527    1127724    2406831    1077136    2394907    1109630    2588609    1000246    2453645    1070213    2448100    1078662
     HRTIMER:        414       6487        395      10237        428       9864        424       9366        524       9183        375      11736       7727        375       6389        395       8958        474       9815        424       9705       7744       8917        482       8808        472        369        420       7549        333       8691        508
         RCU:    1900231    1834156    2221122    1198312    2282947    1166093    2229291    1102242    2239234    1036152    2189967    1025416    2233077    1101203    2206239     969725    2101888    1115506    2168852    1008820    2173605    1026241    2205850    1001549    2199331    1029159    2351418     935321    2229316    1005812    2177164     977461
